TimeStamp,Value
TimeStamp,Value
0,20211007170624,12.6060128212
1,20211007170625,12.6918792725
2,20211007170626,12.6019239426
3,20211007170627,12.6550793648
4,20211007170628,12.585568428
5,20211007170629,12.6550793648
6,20211007170630,12.6387238503
7,20211007170631,13.6364102364
8,20211007170632,14.6463632584
9,20211007170633,23.6827850342
10,20211007170634,25.0198483467
11,20211007170635,25.0198483467
12,20211007170636,24.9871373177
13,20211007170637,25.1588702202
14,20211007170638,31.5743207932
15,20211007170639,33.5451602936
16,20211007170640,33.5451602936
17,20211007170641,25.6577134132
18,20211007170642,15.194272995
19,20211007170643,13.8244986534
20,20211007170644,12.9494786263
21,20211007170645,13.4278774261
22,20211007170646,6.32549524307
23,20211007170647,5.85118532181
24,20211007170648,6.26007318497
25,20211007170649,4.76763248444
26,20211007170650,4.32194471359
27,20211007170651,14.217031002
28,20211007170652,23.1021642685
29,20211007170653,23.0817198753
30,20211007170654,23.5274076462
31,20211007170655,23.5314965248
32,20211007170656,23.5110521317
33,20211007170657,23.5314965248
34,20211007170658,25.915312767
35,20211007170659,33.6841821671
36,20211007170700,33.2057833672
37,20211007170701,32.6537847519
38,20211007170702,32.8418731689
39,20211007170703,25.6904244423
40,20211007170704,23.3556747437
41,20211007170705,23.3761191368
42,20211007170706,11.9722366333
43,20211007170707,12.3811244965
44,20211007170708,12.397480011
45,20211007170709,12.4342799187
46,20211007170710,12.3811244965
47,20211007170711,12.4179244041
48,20211007170712,12.3647689819
49,20211007170713,12.3811244965
50,20211007170714,12.4342799187

